Customer_ID,Customer_Name,City,Account_Type,Open_Date,Balance,Deposit_Amount,Withdrawal_Amount,Loan_Amount,Credit_Score
62,Customer_62,Noida,Current,12-01-2024,208466,44390,22481,0,880
63,Customer_63,Jaipur,Current,02-03-2025,300160,2478,8168,300000,620
64,Customer_64,Noida,Current,30-08-2025,66603,18152,33962,300000,755
65,Customer_65,Patna,Savings,25-06-2024,322097,11697,30609,50000,820
66,Customer_66,Jaipur,Savings,20-11-2024,263615,85044,57451,50000,710
67,Customer_67,Jaipur,Current,21-05-2025,361159,62760,29499,100000,836
68,Customer_68,Jaipur,Savings,17-09-2025,476497,95449,36074,0,586
69,Customer_69,Lucknow,Savings,07-06-2025,339316,48324,20901,100000,702
70,Customer_70,Mumbai,Current,02-11-2024,446115,72393,48708,300000,593
71,Customer_71,Lucknow,Current,06-05-2024,471078,79443,67364,50000,629
72,Customer_72,Jaipur,Savings,13-09-2024,224741,28523,74647,200000,898
73,Customer_73,Patna,Savings,07-02-2025,376994,83489,45610,300000,570
74,Customer_74,Noida,Savings,20-06-2025,48396,33447,13244,50000,865
75,Customer_75,Patna,Savings,06-11-2025,360991,91803,10748,200000,771
76,Customer_76,Mumbai,Current,10-02-2025,87378,42659,57426,50000,611
77,Customer_77,Delhi,Current,17-03-2025,315928,69999,53506,100000,677
78,Customer_78,Mumbai,Current,22-01-2025,393994,73318,525,300000,560
79,Customer_79,Noida,Savings,01-02-2024,330004,79380,31750,50000,695
80,Customer_80,Noida,Current,31-05-2024,285342,26273,35812,200000,636
81,Customer_81,Delhi,Savings,12-07-2025,188147,64331,55045,300000,746
82,Customer_82,Delhi,Savings,28-07-2024,149922,14174,3165,300000,701
83,Customer_83,Delhi,Current,21-11-2025,400017,94937,17903,300000,709
84,Customer_84,Lucknow,Current,23-03-2025,264733,88770,46768,0,613
85,Customer_85,Noida,Current,28-03-2025,377421,58923,45903,100000,899
86,Customer_86,Patna,Savings,08-08-2025,259106,14823,49487,300000,551
87,Customer_87,Mumbai,Current,11-10-2024,334202,78402,66972,300000,814
88,Customer_88,Jaipur,Savings,22-02-2025,492507,97600,40021,200000,867
89,Customer_89,Lucknow,Savings,15-11-2025,279373,25868,47110,200000,846
90,Customer_90,Jaipur,Savings,12-03-2025,213468,44041,76602,200000,676
91,Customer_91,Patna,Savings,17-10-2025,341129,38127,2723,200000,688
92,Customer_92,Delhi,Current,01-07-2024,403390,9622,79359,100000,760
93,Customer_93,Noida,Current,11-07-2025,160209,19932,60564,50000,789
94,Customer_94,Delhi,Current,06-06-2025,24796,35496,66883,0,731
95,Customer_95,Mumbai,Savings,09-03-2024,345375,57997,2587,0,755
96,Customer_96,Noida,Savings,13-10-2025,362186,36149,79297,300000,656
97,Customer_97,Delhi,Savings,30-08-2024,465532,43770,35267,300000,887
98,Customer_98,Jaipur,Savings,12-01-2025,246333,67045,73092,50000,702
99,Customer_99,Noida,Current,30-10-2025,386396,93511,72907,300000,668
100,Customer_100,Patna,Current,05-02-2025,295148,52391,22591,300000,718
101,Customer_101,Jaipur,Savings,15-08-2024,136668,79947,32011,300000,756
102,Customer_102,Noida,Savings,20-11-2024,487538,56592,32561,0,870
103,Customer_103,Lucknow,Savings,18-06-2024,457682,75909,58140,300000,684
104,Customer_104,Mumbai,Current,15-04-2025,277086,21303,18169,100000,708
105,Customer_105,Jaipur,Current,14-02-2025,127087,15182,27025,0,604
106,Customer_106,Delhi,Savings,21-08-2024,209146,42122,64534,0,578
107,Customer_107,Jaipur,Savings,03-09-2025,13207,98622,28384,200000,820
108,Customer_108,Delhi,Savings,19-09-2025,232885,44884,35989,0,663
109,Customer_109,Patna,Savings,13-02-2025,123273,64883,58958,50000,670
110,Customer_110,Patna,Savings,17-10-2024,243522,71698,76012,200000,682
111,Customer_111,Mumbai,Savings,04-12-2024,261221,77806,14541,0,557
112,Customer_112,Patna,Current,06-01-2024,450623,62966,41887,50000,754
113,Customer_113,Delhi,Savings,12-06-2024,462389,99426,19958,200000,624
114,Customer_114,Patna,Current,11-11-2025,285465,7486,74022,50000,590
115,Customer_115,Delhi,Savings,18-04-2025,342916,39767,1892,300000,616
116,Customer_116,Patna,Savings,13-02-2024,490360,35860,15392,50000,564
117,Customer_117,Jaipur,Savings,26-05-2025,335240,17080,36604,200000,749
118,Customer_118,Jaipur,Savings,03-12-2024,331858,35123,34058,50000,580
119,Customer_119,Noida,Current,25-08-2025,491296,77397,22973,300000,836
120,Customer_120,Lucknow,Current,15-10-2025,274768,7969,46298,300000,652
121,Customer_121,Jaipur,Current,03-07-2025,223360,86820,9186,300000,587
122,Customer_122,Delhi,Savings,14-09-2024,94102,12657,19793,200000,572
123,Customer_123,Patna,Current,24-02-2024,335035,11956,67218,0,710
124,Customer_124,Patna,Savings,11-02-2024,67388,69660,4349,200000,778
125,Customer_125,Delhi,Current,26-01-2024,387203,68748,35388,100000,593
126,Customer_126,Jaipur,Current,05-11-2024,18927,50362,7623,100000,616
127,Customer_127,Jaipur,Current,23-09-2024,417584,49831,15353,0,767
128,Customer_128,Noida,Current,08-09-2024,264580,73030,26923,300000,750
129,Customer_129,Jaipur,Current,21-08-2025,253262,13721,17003,300000,836
130,Customer_130,Delhi,Current,18-08-2025,368675,68167,70204,50000,652
131,Customer_131,Delhi,Current,14-01-2025,205073,68298,42496,100000,614
132,Customer_132,Jaipur,Current,11-08-2025,35006,5711,39386,200000,702
133,Customer_133,Jaipur,Savings,22-11-2024,185872,35739,42636,300000,612
134,Customer_134,Noida,Savings,01-06-2024,167257,95263,42673,200000,693
135,Customer_135,Delhi,Savings,06-05-2025,239101,47731,49876,50000,574
136,Customer_136,Mumbai,Current,20-06-2025,259040,75445,33019,100000,879
137,Customer_137,Lucknow,Current,14-01-2025,212065,40289,60892,300000,809
138,Customer_138,Jaipur,Savings,20-06-2024,16242,19445,32784,300000,618
139,Customer_139,Delhi,Current,25-04-2024,97783,53884,6567,0,654
140,Customer_140,Lucknow,Savings,24-09-2024,36008,82855,74870,0,661
141,Customer_141,Patna,Savings,20-10-2025,440491,22723,67040,300000,738
142,Customer_142,Mumbai,Current,13-05-2025,373390,37191,28827,50000,767
143,Customer_143,Mumbai,Current,08-04-2025,355209,48124,71365,0,681
144,Customer_144,Patna,Current,21-02-2025,106572,1085,69728,0,756
145,Customer_145,Lucknow,Current,22-09-2025,463787,66855,75796,0,730
146,Customer_146,Jaipur,Savings,14-04-2025,4356,24872,39236,300000,611
147,Customer_147,Lucknow,Current,05-11-2024,269693,97892,41360,300000,760
148,Customer_148,Lucknow,Current,09-07-2025,493634,67877,53516,200000,704
149,Customer_149,Mumbai,Savings,14-05-2024,266456,58219,76843,100000,875
150,Customer_150,Delhi,Current,10-01-2024,223391,96486,74174,200000,755
151,Customer_151,Delhi,Savings,15-10-2024,492007,86375,2402,0,746
152,Customer_152,Jaipur,Current,02-10-2024,244460,35646,48841,100000,748
153,Customer_153,Noida,Savings,12-04-2025,422281,15271,63402,200000,625
154,Customer_154,Mumbai,Current,19-01-2024,91216,34109,48203,200000,682
155,Customer_155,Jaipur,Current,10-06-2025,151615,96930,55149,200000,721
156,Customer_156,Patna,Current,12-05-2025,113965,93777,64405,0,582
157,Customer_157,Jaipur,Savings,12-05-2024,109076,19608,30045,0,679
158,Customer_158,Jaipur,Savings,08-06-2024,252546,12969,52314,0,595
159,Customer_159,Mumbai,Current,13-03-2025,321807,6667,72036,100000,574
160,Customer_160,Jaipur,Current,29-10-2025,486511,13522,72461,0,685
161,Customer_161,Jaipur,Savings,01-12-2025,147147,23467,62876,50000,896
162,Customer_162,Jaipur,Current,21-10-2025,46714,51080,16225,100000,899
163,Customer_163,Lucknow,Current,04-06-2025,262075,51522,15224,0,626
164,Customer_164,Mumbai,Current,30-01-2025,322721,92063,26371,200000,824
165,Customer_165,Mumbai,Current,22-10-2024,456570,64549,71407,200000,602
166,Customer_166,Jaipur,Current,09-01-2024,398292,95588,45466,0,826
167,Customer_167,Mumbai,Current,02-10-2025,231818,39303,13206,100000,676
168,Customer_168,Mumbai,Current,25-02-2025,78771,17065,33595,300000,872
169,Customer_169,Lucknow,Savings,04-09-2025,474691,7658,69832,200000,688
170,Customer_170,Noida,Current,13-10-2024,252735,91150,40081,50000,805
171,Customer_171,Noida,Savings,11-01-2025,315052,61675,31675,300000,642
172,Customer_172,Mumbai,Savings,17-08-2025,364945,59128,70092,300000,716
173,Customer_173,Noida,Current,25-06-2025,362815,17703,27942,200000,718
174,Customer_174,Mumbai,Savings,01-05-2024,68068,18365,33615,300000,575
175,Customer_175,Mumbai,Savings,30-07-2025,91221,89753,15222,300000,840
176,Customer_176,Noida,Savings,06-11-2025,464620,40352,55347,0,706
177,Customer_177,Noida,Current,22-09-2025,116483,11084,29427,100000,857
178,Customer_178,Noida,Current,14-06-2025,199850,3031,15945,50000,608
179,Customer_179,Delhi,Current,13-09-2024,472130,18779,75236,0,597
180,Customer_180,Noida,Savings,15-04-2024,158279,41552,32630,100000,565
181,Customer_181,Jaipur,Savings,21-03-2024,73894,52340,48766,0,897
182,Customer_182,Noida,Savings,02-12-2024,144462,1043,67533,100000,878
183,Customer_183,Delhi,Current,08-05-2024,318802,35530,53105,300000,764
184,Customer_184,Mumbai,Current,02-07-2025,490631,51612,39465,300000,618
185,Customer_185,Mumbai,Savings,25-02-2024,315620,66653,14400,50000,772
186,Customer_186,Lucknow,Current,08-10-2024,287238,2619,32822,300000,684
187,Customer_187,Jaipur,Current,29-04-2025,67098,52859,13599,0,885
188,Customer_188,Jaipur,Savings,11-07-2025,191391,71401,72808,300000,707
189,Customer_189,Delhi,Savings,01-04-2025,358780,17329,20417,50000,797
190,Customer_190,Mumbai,Current,09-12-2024,192412,38318,20941,200000,757
191,Customer_191,Noida,Savings,30-04-2024,316099,19024,35357,300000,554
192,Customer_192,Delhi,Current,20-10-2025,70508,49742,73651,0,771
193,Customer_193,Noida,Current,04-09-2025,357122,55348,36184,200000,860
194,Customer_194,Delhi,Savings,18-04-2025,28931,13000,61703,0,606
195,Customer_195,Noida,Current,24-08-2025,74177,69526,66594,300000,885
196,Customer_196,Lucknow,Savings,30-12-2024,421524,62116,32135,0,837
197,Customer_197,Delhi,Current,01-01-2025,458177,20795,15257,200000,727
198,Customer_198,Lucknow,Current,16-09-2024,345748,82021,7296,200000,742
199,Customer_199,Patna,Savings,02-01-2025,155104,98816,44726,300000,815
200,Customer_200,Lucknow,Savings,27-05-2024,30376,44760,14876,300000,879
201,Customer_201,Lucknow,Savings,02-10-2025,256558,44693,15922,200000,657
202,Customer_202,Jaipur,Savings,27-01-2025,332141,22899,52067,0,677
203,Customer_203,Jaipur,Current,09-12-2024,173516,86063,32135,200000,739
204,Customer_204,Patna,Current,19-05-2025,342536,86924,25397,200000,827
205,Customer_205,Mumbai,Savings,03-05-2024,300593,63999,34925,0,742
206,Customer_206,Mumbai,Current,28-02-2025,58132,3437,9776,200000,891
207,Customer_207,Mumbai,Savings,29-05-2025,419314,37814,20383,100000,559
208,Customer_208,Lucknow,Current,20-04-2025,208905,83073,29932,0,828
209,Customer_209,Noida,Savings,12-09-2024,222758,20827,23468,0,824
210,Customer_210,Lucknow,Savings,25-07-2025,85383,23017,49241,300000,661
211,Customer_211,Jaipur,Savings,13-03-2025,124555,5302,67588,300000,863
212,Customer_212,Patna,Current,31-10-2025,282413,10121,32494,0,840
213,Customer_213,Lucknow,Savings,21-10-2025,26347,50723,11755,200000,573
214,Customer_214,Noida,Current,14-06-2025,126406,1594,2732,100000,762
215,Customer_215,Jaipur,Current,19-06-2024,312933,17458,73618,300000,875
216,Customer_216,Mumbai,Current,04-04-2025,263976,54736,72590,200000,652
217,Customer_217,Mumbai,Current,22-05-2025,429300,36494,47184,300000,693
218,Customer_218,Jaipur,Current,28-06-2024,410238,94497,10965,100000,623
219,Customer_219,Patna,Current,21-09-2024,134698,33066,45790,300000,789
220,Customer_220,Mumbai,Savings,14-01-2024,79135,17073,33125,0,846
221,Customer_221,Patna,Savings,04-07-2025,325233,26006,71173,300000,621
222,Customer_222,Delhi,Savings,21-07-2025,242436,51290,25668,50000,891
223,Customer_223,Patna,Current,28-02-2024,16865,97825,53134,50000,852
224,Customer_224,Lucknow,Savings,03-09-2025,68725,88170,70582,50000,745
225,Customer_225,Noida,Savings,22-05-2024,150773,26530,52058,50000,702
226,Customer_226,Noida,Savings,27-05-2024,183305,64503,70171,300000,703
227,Customer_227,Noida,Savings,01-08-2024,370822,60745,2870,300000,740
228,Customer_228,Delhi,Current,30-03-2025,134639,81049,7634,50000,617
229,Customer_229,Patna,Savings,06-10-2025,431901,13538,14747,50000,808
230,Customer_230,Patna,Savings,03-06-2025,209049,15933,27810,300000,680
231,Customer_231,Lucknow,Current,04-01-2024,377287,15845,26416,200000,829
232,Customer_232,Jaipur,Savings,20-09-2025,121936,35082,4942,300000,807
233,Customer_233,Jaipur,Current,26-08-2024,449416,53797,35873,200000,689
234,Customer_234,Mumbai,Savings,20-05-2025,52239,87724,16986,200000,572
235,Customer_235,Noida,Savings,15-05-2025,113374,51634,70603,0,589
236,Customer_236,Patna,Savings,25-11-2025,392168,5591,55399,50000,854
237,Customer_237,Lucknow,Current,29-05-2025,100615,66813,50436,50000,669
238,Customer_238,Noida,Savings,03-01-2025,346314,76815,8454,200000,572
239,Customer_239,Patna,Savings,17-09-2025,93683,19357,37424,300000,806
240,Customer_240,Delhi,Current,07-03-2024,455016,74112,51943,300000,843
241,Customer_241,Noida,Current,23-10-2025,158967,51692,35116,0,832
242,Customer_242,Lucknow,Current,03-05-2025,10136,55944,39925,50000,855
243,Customer_243,Lucknow,Current,26-08-2025,292371,36408,8633,200000,750
244,Customer_244,Lucknow,Savings,16-06-2025,415647,3097,75451,0,843
245,Customer_245,Noida,Current,26-06-2025,8539,13228,43521,300000,567
246,Customer_246,Patna,Savings,14-10-2025,195069,76379,9720,300000,778
247,Customer_247,Mumbai,Current,08-12-2024,263185,71314,446,100000,659
248,Customer_248,Lucknow,Savings,29-05-2024,470767,76048,19426,200000,712
249,Customer_249,Noida,Current,04-06-2025,221651,47190,44750,0,582
250,Customer_250,Lucknow,Current,07-10-2025,130314,34801,52041,300000,866
251,Customer_251,Noida,Current,26-03-2024,40276,92878,22333,0,614
252,Customer_252,Mumbai,Savings,16-10-2024,289796,95177,34446,0,691
253,Customer_253,Noida,Savings,06-05-2025,25702,96672,67128,300000,588
254,Customer_254,Lucknow,Savings,17-07-2025,166391,44520,38803,0,776
255,Customer_255,Delhi,Current,07-01-2025,419935,97972,4887,200000,633
256,Customer_256,Jaipur,Current,24-07-2025,22299,92651,77116,50000,651
257,Customer_257,Lucknow,Savings,26-08-2024,61168,76997,17045,100000,784
258,Customer_258,Patna,Current,20-07-2024,410683,7247,47357,300000,731
259,Customer_259,Delhi,Current,13-08-2024,486288,83283,1225,0,634
260,Customer_260,Delhi,Savings,16-09-2024,472169,72346,5225,0,818
261,Customer_261,Mumbai,Current,26-06-2024,19404,69226,26247,100000,674
262,Customer_262,Patna,Savings,17-05-2025,266233,48677,42585,50000,854
263,Customer_263,Lucknow,Current,04-07-2024,99317,89704,38923,300000,792
264,Customer_264,Delhi,Current,07-01-2025,13147,63876,2707,300000,725
265,Customer_265,Mumbai,Current,13-12-2024,39829,84794,55074,300000,838
266,Customer_266,Lucknow,Current,07-11-2025,289550,65679,62600,300000,791
267,Customer_267,Noida,Current,18-06-2024,437249,35162,68740,300000,826
268,Customer_268,Lucknow,Savings,22-09-2024,134895,40664,1922,200000,784
269,Customer_269,Mumbai,Current,30-12-2024,122710,66582,58216,100000,870
270,Customer_270,Jaipur,Savings,28-05-2024,202271,57325,7110,100000,554
271,Customer_271,Noida,Current,18-09-2024,394959,70923,7081,0,716
272,Customer_272,Mumbai,Savings,12-12-2024,162912,77225,6519,100000,611
273,Customer_273,Mumbai,Current,18-11-2025,431438,84598,8686,200000,861
274,Customer_274,Lucknow,Current,14-12-2024,122934,3566,23984,100000,700
275,Customer_275,Delhi,Savings,22-01-2025,221429,68996,60482,200000,668
276,Customer_276,Jaipur,Savings,14-09-2025,23137,80940,31556,50000,752
277,Customer_277,Jaipur,Current,23-01-2025,111178,81510,19920,100000,550
278,Customer_278,Jaipur,Savings,10-11-2024,233926,65262,22397,0,739
279,Customer_279,Patna,Current,23-03-2025,291400,44812,67267,300000,607
280,Customer_280,Jaipur,Current,20-08-2025,339596,38310,71834,200000,555
281,Customer_281,Delhi,Savings,14-11-2024,395397,11328,64473,300000,879
282,Customer_282,Delhi,Savings,28-09-2024,229995,48855,30219,300000,813
283,Customer_283,Noida,Savings,10-06-2025,269083,21373,17003,0,661
284,Customer_284,Jaipur,Savings,04-01-2024,353550,8099,55435,0,578
285,Customer_285,Noida,Savings,10-01-2024,19284,70509,44450,300000,554
286,Customer_286,Noida,Current,26-07-2025,111813,61467,26228,300000,831
287,Customer_287,Mumbai,Current,18-06-2025,132795,30607,23943,0,672
288,Customer_288,Noida,Current,22-07-2025,368290,59327,4632,200000,611
289,Customer_289,Jaipur,Savings,17-01-2024,295936,24254,66271,50000,661
290,Customer_290,Delhi,Current,18-08-2024,93552,39870,12816,50000,582
291,Customer_291,Jaipur,Current,29-03-2025,79672,30269,5650,100000,579
292,Customer_292,Mumbai,Savings,26-08-2025,47801,58002,26244,0,579
293,Customer_293,Delhi,Savings,26-07-2024,29335,97801,15195,100000,679
294,Customer_294,Jaipur,Current,23-06-2025,222692,32589,4228,50000,716
295,Customer_295,Jaipur,Current,24-12-2024,188295,59541,50128,0,768
296,Customer_296,Mumbai,Savings,07-09-2024,437214,64139,45050,50000,587
297,Customer_297,Noida,Current,23-03-2025,465239,36296,69765,100000,759
298,Customer_298,Patna,Current,12-04-2025,192033,46122,41404,300000,558
299,Customer_299,Noida,Savings,14-01-2025,67765,39639,22022,300000,626
300,Customer_300,Mumbai,Savings,19-06-2024,240958,84527,19954,0,863
301,Customer_301,Mumbai,Current,16-09-2024,124432,46655,41315,200000,708
302,Customer_302,Noida,Current,20-03-2024,225583,20187,72085,0,629
303,Customer_303,Patna,Savings,01-12-2025,166592,9068,24482,0,648
304,Customer_304,Lucknow,Current,27-10-2025,187645,96387,47983,300000,871
305,Customer_305,Mumbai,Current,12-11-2025,197360,44836,15783,0,688
306,Customer_306,Mumbai,Current,20-09-2025,374085,27547,8176,100000,838
307,Customer_307,Mumbai,Current,16-02-2025,129105,47151,6481,300000,553
308,Customer_308,Noida,Current,19-07-2024,51931,17754,29197,50000,633
309,Customer_309,Lucknow,Current,21-08-2024,40529,40821,75157,200000,847
310,Customer_310,Noida,Savings,08-06-2025,250024,23970,67167,200000,587
311,Customer_311,Mumbai,Savings,10-10-2024,108592,30007,18651,0,633
312,Customer_312,Noida,Savings,12-05-2025,191254,24110,6460,300000,671
313,Customer_313,Patna,Savings,25-11-2025,365951,27709,11413,300000,725
314,Customer_314,Mumbai,Current,17-06-2024,302533,90623,2352,200000,832
315,Customer_315,Patna,Current,07-02-2024,473517,6864,48073,50000,799
316,Customer_316,Jaipur,Current,10-03-2024,269002,41790,74340,300000,712
317,Customer_317,Patna,Savings,09-08-2025,47975,63035,44301,100000,582
318,Customer_318,Mumbai,Current,05-11-2025,339587,42329,2496,50000,710
319,Customer_319,Patna,Current,25-09-2024,438359,33082,40136,0,700
320,Customer_320,Delhi,Current,15-06-2024,333243,38113,6370,200000,863
321,Customer_321,Patna,Current,10-08-2024,146916,46722,74126,300000,681
322,Customer_322,Noida,Savings,22-11-2025,91373,42292,18719,200000,732
323,Customer_323,Patna,Current,18-06-2025,391313,74318,25200,50000,796
324,Customer_324,Delhi,Savings,05-09-2024,20794,95738,32454,0,815
325,Customer_325,Jaipur,Current,03-06-2025,248293,74708,63472,300000,637
326,Customer_326,Delhi,Current,30-07-2025,372316,65165,52123,300000,837
327,Customer_327,Noida,Savings,06-04-2025,87716,77775,77157,100000,730
328,Customer_328,Noida,Savings,24-03-2025,125515,90136,71650,200000,732
329,Customer_329,Delhi,Current,18-07-2024,85607,17649,57960,300000,722
330,Customer_330,Delhi,Savings,26-06-2024,299196,64279,62690,300000,580
331,Customer_331,Mumbai,Current,30-03-2025,344109,21433,66786,200000,613
332,Customer_332,Noida,Savings,18-11-2024,138402,18130,22191,50000,866
333,Customer_333,Jaipur,Current,26-06-2025,162563,30704,72664,200000,784
334,Customer_334,Lucknow,Current,06-06-2025,290472,40775,22253,300000,655
335,Customer_335,Noida,Savings,16-10-2024,354096,20263,843,200000,744
336,Customer_336,Lucknow,Current,01-11-2025,269854,96285,23450,200000,823
337,Customer_337,Delhi,Savings,28-03-2025,191719,27055,7081,0,825
338,Customer_338,Mumbai,Current,31-01-2025,72989,58115,52057,200000,817
339,Customer_339,Lucknow,Current,30-08-2025,20088,76959,25417,200000,749
340,Customer_340,Lucknow,Current,24-10-2024,479489,45717,22744,50000,564
341,Customer_341,Lucknow,Savings,23-07-2025,32749,88045,8510,200000,713
342,Customer_342,Patna,Savings,28-03-2025,176792,97791,13322,200000,692
343,Customer_343,Delhi,Savings,23-02-2025,244958,43420,66515,200000,827
344,Customer_344,Lucknow,Savings,13-03-2025,464177,80421,62621,100000,624
345,Customer_345,Mumbai,Savings,24-12-2024,72940,80087,25362,200000,882
346,Customer_346,Patna,Savings,08-06-2024,55212,91640,13494,200000,627
347,Customer_347,Patna,Savings,18-01-2025,294722,42158,36716,200000,799
348,Customer_348,Jaipur,Current,01-04-2025,159165,97097,39727,100000,698
349,Customer_349,Patna,Savings,27-06-2024,53596,64140,23555,200000,604
350,Customer_350,Noida,Current,05-07-2025,65689,70272,41757,300000,875
351,Customer_351,Lucknow,Current,15-12-2024,380398,76201,41917,100000,798
352,Customer_352,Mumbai,Savings,07-02-2025,432879,70288,28591,300000,652
353,Customer_353,Noida,Savings,31-08-2025,490407,32155,6767,100000,764
354,Customer_354,Lucknow,Current,31-01-2024,181503,47122,47391,50000,697
355,Customer_355,Jaipur,Savings,17-08-2024,165384,52093,50407,0,749
356,Customer_356,Lucknow,Savings,28-10-2025,473833,45896,79196,50000,583
357,Customer_357,Jaipur,Current,18-09-2025,168904,50422,26707,0,772
358,Customer_358,Patna,Savings,05-01-2024,424777,46012,12222,0,823
359,Customer_359,Patna,Current,02-07-2024,396034,44609,18907,100000,827
360,Customer_360,Noida,Savings,15-10-2025,496110,91860,68541,50000,631
361,Customer_361,Delhi,Current,17-06-2024,282984,21039,19227,300000,817
362,Customer_362,Lucknow,Current,13-05-2024,227119,17537,43756,300000,620
363,Customer_363,Mumbai,Current,22-01-2024,189023,22826,29662,300000,800
364,Customer_364,Mumbai,Current,05-02-2024,484714,85378,11764,300000,623
365,Customer_365,Noida,Current,02-08-2024,190013,92906,18070,0,746
366,Customer_366,Mumbai,Savings,01-05-2025,16639,69341,60526,50000,552
367,Customer_367,Mumbai,Savings,07-11-2024,23102,34992,68023,0,606
368,Customer_368,Jaipur,Current,13-02-2025,174987,13736,58377,100000,623
369,Customer_369,Patna,Current,17-03-2025,195752,84941,45730,200000,738
370,Customer_370,Delhi,Savings,16-07-2025,484849,26993,25642,50000,672
